# Constructed from biom file
#OTU ID	recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D49	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
f14677bcbc79b5f4afa9de8aba20ae29	70.0	120.0	353.0	234.0	352.0	85.0	238.0	171.0	290.0	344.0	404.0	213.0	535.0	214.0	682.0	129.0	52.0	136.0	1101.0	227.0	1119.0	150.0	280.0	0.0	239.0	1141.0	597.0	178.0	896.0	966.0	973.0	921.0	617.0	1117.0	443.0	662.0	1078.0	652.0	751.0	203.0	1257.0	1179.0	757.0	850.0	635.0	457.0	1068.0	886.0
d6b2e1751aaf2e39587f9b501bfc2610	288.0	348.0	577.0	430.0	385.0	335.0	322.0	493.0	383.0	522.0	581.0	432.0	328.0	549.0	364.0	141.0	145.0	472.0	380.0	502.0	374.0	131.0	528.0	0.0	443.0	866.0	324.0	351.0	914.0	782.0	283.0	1288.0	543.0	479.0	965.0	805.0	603.0	923.0	341.0	400.0	470.0	369.0	786.0	519.0	981.0	750.0	584.0	803.0
ffcb541b8ce035d442e35b85ddd776d5	60.0	336.0	173.0	305.0	236.0	55.0	256.0	83.0	298.0	168.0	142.0	23.0	273.0	88.0	193.0	25.0	291.0	200.0	338.0	494.0	341.0	110.0	910.0	0.0	287.0	453.0	384.0	179.0	397.0	359.0	1431.0	101.0	237.0	1546.0	106.0	20.0	1072.0	382.0	1590.0	21.0	465.0	483.0	974.0	793.0	1286.0	285.0	571.0	43.0
a5fa2d894d3e82e420d11fe9bcf33df7	308.0	728.0	821.0	402.0	694.0	644.0	656.0	380.0	675.0	610.0	523.0	622.0	429.0	648.0	31.0	581.0	926.0	803.0	0.0	694.0	0.0	261.0	0.0	0.0	1168.0	0.0	0.0	1236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	586.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
569cf498e9fd1ef4cd5138ea717516d7	851.0	503.0	525.0	433.0	470.0	580.0	411.0	320.0	572.0	142.0	811.0	135.0	221.0	95.0	0.0	488.0	786.0	457.0	0.0	620.0	0.0	141.0	0.0	0.0	72.0	452.0	155.0	135.0	0.0	307.0	0.0	0.0	712.0	0.0	147.0	225.0	0.0	310.0	0.0	134.0	0.0	453.0	0.0	440.0	0.0	0.0	753.0	452.0
e4e5f8936126f01baa9c7ca2b24b866d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	143.0	0.0	459.0	0.0	0.0	154.0	165.0	0.0	356.0	256.0	392.0	102.0	609.0	560.0	316.0	975.0	613.0	343.0	808.0	0.0	229.0	459.0	510.0	299.0	654.0	889.0	444.0	324.0
ec0034ebee5c0c1f14a758b15c595717	0.0	0.0	362.0	388.0	422.0	204.0	437.0	610.0	0.0	533.0	0.0	394.0	622.0	849.0	1028.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	393.0	0.0	0.0	393.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	331.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
793538a8c97162aec9c74b8e9f9127b2	13.0	27.0	77.0	232.0	100.0	186.0	24.0	100.0	0.0	392.0	32.0	108.0	265.0	267.0	316.0	31.0	35.0	30.0	192.0	45.0	204.0	49.0	41.0	0.0	215.0	0.0	80.0	132.0	0.0	38.0	0.0	158.0	18.0	20.0	299.0	248.0	15.0	443.0	0.0	154.0	57.0	120.0	0.0	29.0	0.0	35.0	53.0	319.0
c29e891dea893a1da246d045eb4c83ac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	0.0	146.0	0.0	200.0	0.0	0.0	327.0	0.0	0.0	345.0	314.0	87.0	524.0	201.0	176.0	355.0	276.0	229.0	358.0	107.0	0.0	49.0	123.0	0.0	231.0	118.0	191.0	193.0	317.0
3e5a0f14b466904f4ab1605ace975861	103.0	162.0	299.0	165.0	185.0	79.0	97.0	222.0	63.0	128.0	320.0	471.0	335.0	121.0	86.0	193.0	169.0	158.0	0.0	86.0	0.0	72.0	0.0	0.0	174.0	0.0	0.0	117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	379.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
